,aid,cid,contents
0,28852998,50009896,我将带头冲锋
1,28852998,50009896,小螺号 瞎特么吹
2,28852998,50009896,没有弹幕？
3,28852998,50009896,这首歌这么早啊
4,28852998,50009896,..........................
5,28852998,50009896,65个朋友 出个声吧
6,28852998,50009896,果然少不了周董
7,28852998,50009896,赞
8,28852998,50009896,富士山下更好些
9,28852998,50009896,????????????????????????????????
10,28852998,50009896,哈哈，我还以为是卡路里
11,28852998,50009896,17年、18年的歌都不行
12,28852998,50009896,好评
13,28852998,50009896,太羞耻了
14,28852998,50009896,群体假唱
15,28852998,50009896,巫妖王
16,28852998,50009896,八零年生人的回忆
17,28852998,50009896,一无所有！
18,28852998,50009896,黄元申可惜出家了
19,28852998,50009896,污妖王
20,28852998,50009896,才知道是娃娃的词耶
21,28852998,50009896,宋小宝
22,28852998,50009896,救灾神曲
23,28852998,50009896,可惜了，移民了
24,28852998,50009896,这个牛逼
25,28852998,50009896,哈哈哈
26,28852998,50009896,超爱这首啊
27,28852998,50009896,尹正该出场了
28,28852998,50009896,那年5岁 岁月这把杀猪刀
29,28852998,50009896,嫁给老外了
30,28852998,50009896,崔大神！
31,28852998,50009896,那时刘欢还是个瘦子
32,28852998,50009896,小虎队
33,28852998,50009896,不踢足球唱歌还是不错的
34,28852998,50009896,远华案
35,28852998,50009896,悟出一套咏春拳法
36,28852998,50009896,现在的摇滚
37,28852998,50009896,毛阿敏也是位大魔王
38,28852998,50009896,大师风范
39,28852998,50009896,千禧年之后怎么好像越来越浮躁了！
40,28852998,50009896,吻别
41,28852998,50009896,污妖王亮了
42,28852998,50009896,这个词竟然是许常德写的
43,28852998,50009896,同上+1
44,28852998,50009896,哇哇哇。。。。。。。。。。。。。
45,28852998,50009896,房子买不起
46,28852998,50009896,皮裤
47,28852998,50009896,当年看这部微电影真的事看哭了！
48,28852998,50009896,好帅啊
49,28852998,50009896,这歌真的很好听
50,28852998,50009896,雷子
51,28852998,50009896,我就知道会有这个
52,28852998,50009896,啊啊啊，我燕姿的时代来了！
53,28852998,50009896,这一年我出生
54,28852998,50009896,出生了
55,28852998,50009896,这视频完全是中国乐坛的衰落史
56,28852998,50009896,高晓松说谁把你的头发盘起一开始是谁把你的裙子掀起
57,28852998,50009896,超爱光良
58,28852998,50009896,袁华
59,28852998,50009896,  居然自带拼音2333
60,28852998,50009896,这个真的是青春啊
61,28852998,50009896,表白三只
62,28852998,50009896,来了来了
63,28852998,50009896,情书 藤井树
64,28852998,50009896,祖师爷
65,28852998,50009896,那时候台湾还没有台湾腔
66,28852998,50009896,我就知道
67,28852998,50009896,.............
68,28852998,50009896,跳过
69,28852998,50009896,民谣万岁
70,28852998,50009896,林忆莲！！！
71,28852998,50009896,宝贝！！！
72,28852998,50009896,科普一下，林夕大神是罗大佑带出来的哦，算半个弟子了
